taz,geog_name,district,lat_1,lon_1
1,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
2,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
3,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
4,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
5,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
6,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
7,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
8,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
9,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
10,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
11,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
12,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
13,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
14,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
15,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
16,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
17,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
18,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
19,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
20,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
21,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
22,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
23,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
24,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
25,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
26,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
27,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
28,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
29,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
30,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
31,City of SeaTac,West-South Seattle,47.51978,-122.138064
32,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
33,City of SeaTac,West-South Seattle,47.51978,-122.138064
34,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
35,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
36,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
37,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
38,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
39,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
40,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
41,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
42,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
43,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
44,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
45,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
46,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
47,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
48,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
49,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
50,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
51,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
52,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
53,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
54,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
55,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
56,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
57,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
58,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
59,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
60,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
61,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
62,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
63,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
64,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
65,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
66,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
67,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
68,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
69,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
70,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
71,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
72,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
73,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
74,City of SeaTac,West-South Seattle,47.51978,-122.138064
75,City of SeaTac,West-South Seattle,47.51978,-122.138064
76,City of SeaTac,West-South Seattle,47.51978,-122.138064
77,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
78,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
79,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
80,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
81,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
82,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
83,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
84,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
85,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
86,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
87,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
88,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
89,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
90,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
91,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
92,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
93,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
94,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
95,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
96,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
97,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
98,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
99,City of SeaTac,Renton-FedWay-Kent,47.51978,-122.138064
