person_id,household_id
1,54347
2,14914
3,50560
4,28974
5,4372
6,47626
7,5456
8,17777
9,14633
10,25697
11,14741
12,28560
13,29463
14,13464
15,32754
16,62900
17,53145
18,39557
19,58814
20,33053
21,31687
22,49662
23,1460
24,3747
25,1812
26,47413
27,52179
28,50659
29,6090
30,62144
31,22410
32,27332
33,8503
34,17992
35,59334
36,61431
37,14656
38,54246
39,59320
40,17006
41,29833
42,65757
43,36997
44,11299
45,52610
46,62836
47,1408
48,42483
49,28770
50,43873
51,12440
52,15959
53,19352
54,55377
55,36222
56,16265
57,6671
58,30615
59,46882
60,23014
61,14544
62,45611
63,16468
64,61583
65,5252
66,1312
67,301
68,43287
69,32174
70,1754
71,9396
72,27122
73,46637
74,49166
75,14116
76,36726
77,11288
78,55150
79,32567
80,34547
81,26162
82,64250
83,27701
84,59822
85,35962
86,52676
87,11090
88,51335
89,14193
90,55356
91,51080
92,11407
93,27287
94,18599
95,10589
96,827
97,53720
98,16652
99,51534
100,23180
101,63320
102,40382
103,37641
104,7574
105,38540
106,55427
107,21583
108,62632
109,66031
110,39380
111,61165
112,3151
113,62205
114,31737
115,6232
116,31868
117,56072
118,272
119,44936
120,6493
121,50640
122,2289
123,17757
124,39129
125,34206
126,28853
127,2380
128,34381
129,54456
130,2910
131,46275
132,34285
133,53082
134,23732
135,40897
136,17761
137,11153
138,50295
139,41429
140,16946
141,56406
142,32165
143,12980
144,4322
145,34955
146,27816
147,26371
148,11830
149,22485
150,20614
151,1741
152,2407
153,36491
154,10557
155,59577
156,33026
157,25672
158,2560
159,33354
160,19576
161,43409
162,32622
163,4478
164,66314
165,43193
166,6690
167,41824
168,36853
169,23651
170,61202
171,21354
172,53442
173,3738
174,39468
175,13124
176,39520
177,45751
178,56548
179,47682
180,19706
181,47274
182,18177
183,48238
184,51809
185,2398
186,23384
187,177
188,50178
189,63863
190,54027
191,52911
192,22951
193,34314
194,14348
195,33665
196,12414
197,60311
198,38667
199,60133
200,39863
201,24177
202,19010
203,55182
204,57896
205,23936
206,58757
207,47362
208,35855
209,49165
210,48368
211,8516
212,59823
213,65329
214,10884
215,57584
216,9949
217,23433
218,65804
219,22901
220,50384
221,54651
222,12027
223,22277
224,32855
225,7322
226,9918
227,9914
228,17674
229,14010
230,39630
231,58984
232,52320
233,9640
234,52535
235,42509
236,38516
237,24638
238,55875
239,2906
240,12878
241,10454
242,55245
243,55001
244,60955
245,56899
246,41953
247,37467
248,31785
249,462
250,55220
251,11805
252,55919
253,61860
254,32275
255,21774
256,17917
257,1506
258,17768
259,47586
260,38784
261,8540
262,35223
263,38738
264,31592
265,13322
266,44827
267,34202
268,62185
269,20069
270,43520
271,65767
272,48442
273,62748
274,9132
275,19982
276,8690
277,2765
278,26707
279,17007
280,24307
281,49617
282,22839
283,10155
284,80
285,51250
286,30190
287,57373
288,57376
289,6186
290,21839
291,18119
292,37015
293,9335
294,25125
295,13228
296,46875
297,29406
298,15892
299,44730
300,32468
301,39892
302,54485
303,64013
304,37748
305,48428
306,56266
307,35742
308,1643
309,8532
310,64347
311,6387
312,25174
313,53347
314,3448
315,34852
316,10093
317,48516
318,61580
319,7529
320,11157
321,2459
322,821
323,44821
324,18197
325,2579
326,20314
327,10214
328,20663
329,26242
330,33921
331,3702
332,39486
333,65751
334,42415
335,20087
336,65957
337,41125
338,2337
339,45766
340,27737
341,20077
342,56239
343,43185
344,12922
345,41445
346,16579
347,50104
348,6097
349,47555
350,986
351,14475
352,32737
353,33999
354,54017
355,59269
356,12625
357,46949
358,2526
359,19638
360,64772
361,51086
362,50503
363,40630
364,66682
365,25993
366,23446
367,6981
368,27493
369,42273
370,45429
371,51772
372,190
373,15025
374,58718
375,59802
376,24767
377,35560
378,35259
379,18453
380,9992
381,47147
382,61102
383,10810
384,32320
385,5410
386,16349
387,3770
388,6303
389,11845
390,51790
391,3336
392,34025
393,30124
394,21607
395,23865
396,2758
397,43424
398,11811
399,41471
400,41219
401,43788
402,31450
403,65802
404,3759
405,20974
406,13081
407,26458
408,29825
409,63827
410,16015
411,46678
412,19702
413,20310
414,57951
415,55031
416,12901
417,46610
418,45505
419,64796
420,62262
421,31095
422,7396
423,2198
424,3742
425,21278
426,1869
427,6816
428,40126
429,64135
430,16142
431,58586
432,50336
433,53072
434,6419
435,43724
436,45593
437,9502
438,9753
439,12746
440,1368
441,54559
442,65052
443,63068
444,577
445,56054
446,6484
447,43892
448,61137
449,56980
450,27860
451,49174
452,36007
453,17038
454,46144
455,57930
456,8331
457,34303
458,25357
459,60261
460,51818
461,15482
462,60625
463,66663
464,47075
465,63831
466,35004
467,30172
468,52847
469,17927
470,63490
471,7866
472,59919
473,49694
474,7730
475,24548
476,20925
477,50656
478,37066
479,46585
480,29294
481,4576
482,44609
483,44450
484,61513
485,46393
486,57141
487,29654
488,9429
489,55826
490,37660
491,12091
492,44002
493,20563
494,62503
495,36316
496,17823
497,37292
498,2779
499,52915
500,4081
501,13405
502,53493
503,52212
504,17122
505,25942
506,11594
507,36477
508,31000
509,5876
510,58468
511,23954
512,59653
513,28507
514,13547
515,42153
516,62336
517,35759
518,3761
519,41797
520,57916
521,36952
522,49547
523,21736
524,33069
525,32353
526,36722
527,51536
528,17770
529,51641
530,7881
531,47541
532,1041
533,151
534,53965
535,54392
536,61462
537,11643
538,51764
539,35420
540,65392
541,36447
542,10117
543,35949
544,14175
545,31254
546,22227
547,17553
548,57262
549,10939
550,565
551,40136
552,29935
553,61691
554,57904
555,27831
556,14882
557,52623
558,4496
559,62936
560,33608
561,21600
562,36927
563,19686
564,16717
565,35586
566,9253
567,37567
568,54061
569,16020
570,41923
571,10053
572,27746
573,48107
574,48410
575,54351
576,9033
577,50083
578,18943
579,4848
580,9329
581,3934
582,37956
583,47366
584,41035
585,59420
586,17950
587,61443
588,49902
589,23675
590,17257
591,14559
592,14095
593,59765
594,3498
595,56747
596,66104
597,3554
598,643
599,14537
600,49229
601,39092
602,43364
603,52685
604,62375
605,17861
606,10807
607,252
608,50956
609,14784
610,17243
611,65288
612,24372
613,59082
614,29237
615,8189
616,60074
617,45940
618,58103
619,57056
620,25025
621,39012
622,61611
623,38790
624,37671
625,10114
626,57152
627,51834
628,18497
629,57297
630,33193
631,16259
632,10362
633,7876
634,57630
635,30999
636,32802
637,59105
638,23529
639,44805
640,992
641,65759
642,26874
643,63298
644,27875
645,9285
646,1266
647,12702
648,2659
649,54658
650,23486
651,12497
652,46847
653,3884
654,25057
655,40746
656,58090
657,42914
658,44917
659,9420
660,64419
661,60088
662,19759
663,16834
664,24855
665,16959
666,15883
667,18251
668,43113
669,42252
670,11493
671,31005
672,16762
673,58985
674,63880
675,18169
676,28342
677,31109
678,28754
679,31997
680,39993
681,56739
682,56632
683,40385
684,4721
685,35525
686,5568
687,17279
688,62024
689,46741
690,63867
691,42322
692,29544
693,39127
694,56167
695,5897
696,14459
697,64474
698,6095
699,945
700,31096
701,23837
702,39769
703,46411
704,57159
705,31541
706,21044
707,30370
708,13472
709,31718
710,52722
711,13786
712,11731
713,35741
714,44381
715,54320
716,11051
717,34300
718,35489
719,33475
720,26300
721,2954
722,33075
723,4396
724,11128
725,65884
726,10684
727,55274
728,64731
729,61625
730,48527
731,50838
732,17593
733,5323
734,23512
735,61264
736,46620
737,37319
738,20546
739,32082
740,28552
741,57618
742,26230
743,2463
744,21330
745,17208
746,64096
747,46551
748,53047
749,7428
